date,time,close,high,low,open
28-11-2019,12:15:00,12135.45,12136.5,12131.3,12135.15
28-11-2019,12:25:00,12135.95,12140.35,12133.05,12135.9
28-11-2019,12:35:00,12137.4,12139.45,12132.35,12135.65
28-11-2019,12:45:00,12124.7,12138.55,12124.55,12138.55
28-11-2019,12:55:00,12120.4,12129.65,12119.55,12124.9
28-11-2019,13:05:00,12135.9,12136.15,12120.15,12120.5
28-11-2019,13:15:00,12133.35,12139.65,12131,12136
28-11-2019,13:25:00,12128.95,12134.95,12123.1,12134.95
28-11-2019,13:35:00,12128.05,12133.9,12125.7,12129.6
28-11-2019,13:45:00,12116.45,12129.95,12113.95,12128
28-11-2019,13:55:00,12115.85,12116.65,12105.2,12116.6
28-11-2019,14:05:00,12122.55,12124.55,12115.5,12116.3
28-11-2019,14:15:00,12123.55,12127.35,12120,12122.25
28-11-2019,14:25:00,12122.1,12127.55,12113,12124.1
28-11-2019,14:35:00,12128.1,12130.75,12118.8,12121.9
28-11-2019,14:45:00,12120.8,12128.85,12117.7,12128
28-11-2019,14:55:00,12144.3,12146.05,12119.35,12121
28-11-2019,15:05:00,12151.35,12157.15,12143.55,12144.15
28-11-2019,15:15:00,12155.65,12157.65,12147,12151.5
28-11-2019,15:25:00,12155.4,12157.75,12152.1,12155.45
29-11-2019,09:15:00,12116.65,12146.65,12112.55,12146.2
29-11-2019,09:25:00,12111.95,12117.5,12107.15,12116.85
29-11-2019,09:35:00,12116.4,12121.05,12109.25,12111.7
29-11-2019,09:45:00,12102.2,12116.2,12100.15,12116.15
29-11-2019,09:55:00,12091.8,12102.55,12085.9,12102.2
29-11-2019,10:05:00,12091.45,12097.8,12089.95,12091.6
29-11-2019,10:15:00,12092.55,12096.25,12088.2,12091.95
29-11-2019,10:25:00,12085.4,12094.8,12080.15,12092.45
29-11-2019,10:35:00,12077.7,12086.9,12075,12085.25
29-11-2019,10:45:00,12074.1,12080.8,12070.9,12077.3
29-11-2019,10:55:00,12063.3,12077.95,12062.6,12074.05
29-11-2019,11:05:00,12063.85,12067.25,12055.9,12063.1
29-11-2019,11:15:00,12061.5,12064.5,12055.75,12063.8
29-11-2019,11:25:00,12052.1,12061.6,12050,12061.6
29-11-2019,11:35:00,12047.35,12059,12045.95,12051.75
29-11-2019,11:45:00,12038.4,12049.7,12038.4,12047.15
29-11-2019,11:55:00,12029.5,12040.05,12017.6,12037.65
29-11-2019,12:05:00,12040.4,12045.95,12028.65,12030.05
29-11-2019,12:15:00,12047.7,12053.95,12040.25,12040.9
29-11-2019,12:25:00,12046.55,12047.85,12042,12047.7
29-11-2019,12:35:00,12048.85,12050.45,12043.1,12046.6
29-11-2019,12:45:00,12056.9,12067.5,12045.95,12049.1
29-11-2019,12:55:00,12049.1,12058.85,12047.85,12056
29-11-2019,13:05:00,12045.05,12052.15,12044.45,12048.5
29-11-2019,13:15:00,12049.05,12050.8,12037.9,12046.15
29-11-2019,13:25:00,12038.85,12050.25,12035.75,12050.25
29-11-2019,13:35:00,12042.5,12055.55,12037.65,12039.4
29-11-2019,13:45:00,12035.45,12044.25,12029.2,12043.2
29-11-2019,13:55:00,12039.7,12041.45,12030.35,12036.05
29-11-2019,14:05:00,12026.95,12046.45,12026.75,12040.25
29-11-2019,14:15:00,12036.45,12037.65,12018.2,12026.75
29-11-2019,14:25:00,12055.4,12055.4,12030,12035.95
29-11-2019,14:35:00,12048.25,12061.75,12046.15,12054.75
29-11-2019,14:45:00,12050.45,12057,12046.1,12048.7
29-11-2019,14:55:00,12068.85,12069.6,12045.1,12050.85
29-11-2019,15:05:00,12055.1,12076,12051.05,12068.85
29-11-2019,15:15:00,12051.8,12059.7,12046.95,12056.25
29-11-2019,15:25:00,12048,12057.5,12046.9,12052.85
02-12-2019,09:15:00,12084.6,12137.05,12064.45,12137.05
02-12-2019,09:25:00,12089.8,12092.7,12081.4,12083.9
02-12-2019,09:35:00,12106.95,12114.1,12085.95,12090.25
02-12-2019,09:45:00,12093.65,12109.25,12084.55,12106.7
02-12-2019,09:55:00,12084,12099.6,12078.75,12093.85
02-12-2019,10:05:00,12073.9,12086.3,12072.3,12083.95
02-12-2019,10:15:00,12059.85,12074.85,12049.8,12073.7
02-12-2019,10:25:00,12051.65,12070.4,12048.65,12059.65
02-12-2019,10:35:00,12044.25,12051.95,12031.85,12051.45
02-12-2019,10:45:00,12049.3,12054.25,12042.45,12043.6
02-12-2019,10:55:00,12042.25,12057.35,12041.6,12049.35
02-12-2019,11:05:00,12045.5,12046.5,12035.65,12042
02-12-2019,11:15:00,12055.75,12058.9,12040.75,12045.45
02-12-2019,11:25:00,12064.25,12066.85,12055.05,12055.6
02-12-2019,11:35:00,12062.5,12076.55,12059.1,12064.1
02-12-2019,11:45:00,12062.85,12068.8,12061.35,12062.75
02-12-2019,11:55:00,12056.7,12063.45,12051.35,12063
02-12-2019,12:05:00,12058.9,12062.15,12053.85,12056.85
02-12-2019,12:15:00,12058.65,12062.85,12055.2,12058.75
02-12-2019,12:25:00,12045.7,12059,12039.6,12058.6
02-12-2019,12:35:00,12043.2,12059.65,12042.95,12046
02-12-2019,12:45:00,12033.2,12044.3,12033.2,12042.85
02-12-2019,12:55:00,12034.7,12039.85,12025.65,12031.65
02-12-2019,13:05:00,12032.9,12037.25,12029.8,12034.8
02-12-2019,13:15:00,12030.1,12036.25,12025.2,12032.6
02-12-2019,13:25:00,12044.8,12047.55,12028.75,12029.7
02-12-2019,13:35:00,12046.35,12050.6,12043.15,12045.05
02-12-2019,13:45:00,12057.45,12057.45,12046.25,12046.85
02-12-2019,13:55:00,12048.35,12058.4,12045.75,12057.9
02-12-2019,14:05:00,12058.55,12062.9,12048.3,12049.25
02-12-2019,14:15:00,12045.6,12060.25,12041.7,12058.75
02-12-2019,14:25:00,12048.15,12052.65,12043.7,12045.65
02-12-2019,14:35:00,12057.4,12058.65,12044.85,12049.05
02-12-2019,14:45:00,12043,12058.3,12043,12057.3
02-12-2019,14:55:00,12045.15,12050,12024.5,12042.75
02-12-2019,15:05:00,12047.85,12048.2,12038.85,12045.55
02-12-2019,15:15:00,12055.5,12056.1,12042.4,12047.7
02-12-2019,15:25:00,12048.25,12058.2,12046.5,12055.35
03-12-2019,09:15:00,12023.6,12067.65,12019.9,12067.65
